Longitude (180 degree E),Latitude (degree N),Name,Interpretation,Reference,DOI or ID
92,-32,Hadriaca Patera,Channels on volcanic slopes,"Farmer, 1996",10.1002/9780470514986.ch15
173,-8,Apollinaris Patera,Channels on volcanic slopes,"Farmer, 1996",10.1002/9780470514986.ch16
94,-33,Dao Vallis,Channels on volcanic slopes,"Farmer, 1996",10.1002/9780470514986.ch17
146,25,NW Elysium Mons,Volcanic fissures,"Farmer, 1996",10.1002/9780470514986.ch18
160,7,Cerberus colcanic plains,Volcanic fissures,"Farmer, 1996",10.1002/9780470514986.ch19
26,35.5,Ismenius Lacus,Fretted channel terranes,"Farmer, 1996",10.1002/9780470514986.ch20
-20,3,Aram Chaos,Chaotic terranes and associated outflow channels,"Farmer, 1996",10.1002/9780470514986.ch21
-76,-5,Candor Chasma,Rifted basins,"Farmer, 1996",10.1002/9780470514986.ch22
-8,-24,Margaritifer Sinus impact craters,Channels surrounding impact craters,"Farmer, 1996",10.1002/9780470514986.ch23
71.8,17,Toro Crater,Impact-induced vent-like and conical mound structures,"Marzo et al., 2010",10.1016/j.icarus.2010.03.013
-81,35,Tempe Fossae,,"Dohm et al., 2000",ntrs.nasa.gov/search.jsp?R=20000081244
-95,-39,Warrego,,"Dohm et al., 2000",ntrs.nasa.gov/search.jsp?R=20000081244
-62,-28,Southern Coprates,,"Dohm et al., 2000",ntrs.nasa.gov/search.jsp?R=20000081244
-49,-15,East Valles,,"Dohm et al., 2000",ntrs.nasa.gov/search.jsp?R=20000081244
-107,37,Alba Patera,,"Dohm et al., 2000",ntrs.nasa.gov/search.jsp?R=20000081244
-135,28,North Olympus Mons,,"Dohm et al., 2000",ntrs.nasa.gov/search.jsp?R=20000081244