Delta number,Delta name,Lat (deg N),Lon (deg E),Lon (180 deg E),Valley,Valley depth,Age (Ga),Error+ (Ga),Error- (Ga)
1,Sabrina,11.69,307.05,-52.95,L,+-150,3.43,0.11,0.35
2,Tyras,8.45,310.26,-49.74,L,300-350,3.63,0.05,0.08
3,Sibut,9.84,310.58,-49.42,M,+-200,n/a,,
4,Nanedi,8.49,311.99,-48.01,L,+-100,3.6,0.08,0.16
5,Hypanis,11.30,314.57,-45.43,L,+-75 (?),3.45,0.07,0.14
6,Subur,11.72,307.05,-52.95,M,n/a,1.42,0.53,0.53
7,Camichel,2.74,308.33,-51.67,M,+-250,0.57,0.14,0.14
8,Shalbatana,3.05,316.75,-43.25,M,+-1100,3.35,0.16,1.12
9,Unnamed,11.38,308.72,-51.28,S,150,0.3,0.04,0.04
10,Balvicar,16.04,306.78,-53.22,S,+-300,0.84,0.17,0.17
11,Cantoura,14.52,308.17,-51.83,S,600,1.95,0.55,0.56
12,Kolonga,8.17,304.89,-55.11,S,+-40 (?),0.39,0.14,0.14
13,Dukhan,7.59,321.03,-38.97,S,+-250,0.29,0.055,0.055
14,Liberta,35.18,304.52,-55.48,S,+-50 (?),0.84,0.19,0.19
15,Unnamed,14.09,335.70,-24.30,S,500,0.92,0.53,0.53
16,Nephentesh,2.16,121.64,121.64,M,+-820,1.8,0.48,0.48
17,Aeolis 1,-5.62,140.49,140.49,S,+-350,0.99,0.094,0.094
18,Aeolis 2,-6.54,141.12,141.12,S,+-600,3.46,0.11,0.42
19,Aeolis 3,-6.49,141.69,141.69,S,400,0.47,0.06,0.06